20,count
sugar,27922
onion,25463
butter,22690
water,15292
salt,15126
olive oil,14408
eggs,9604
garlic cloves,9480
brown sugar,8404
milk,8253
flour,7606
baking powder,6571
onions,6276
margarine,5862
all-purpose flour,4933
garlic,4837
egg,4345
cream cheese,4315
granulated sugar,3849
lemon juice,3806
sour cream,3728
mayonnaise,3667
honey,3547
celery,3527
unsalted butter,3423
baking soda,3315
garlic clove,3141
extra virgin olive oil,3137
bacon,3038
soy sauce,2955
tomatoes,2922
carrots,2591
red onion,2570
cornstarch,2496
parmesan cheese,2420
carrot,2200
cheddar cheese,2120
white sugar,1999
potatoes,1928
chicken broth,1881
ground beef,1850
garlic powder,1841
powdered sugar,1763
kosher salt,1729
cinnamon,1613
green pepper,1604
yellow onion,1593
green onions,1558
Dijon mustard,1554
boiling water,1548
light brown sugar,1537
whole wheat flour,1534
canola oil,1449
green onion,1432
pepper,1420
fresh lemon juice,1404
heavy cream,1395
zucchini,1353
red bell pepper,1306
tomato paste,1245
lime juice,1241
warm water,1237
shortening,1216
mozzarella cheese,1171
ketchup,1130
lemon,1119
Worcestershire sauce,1090
paprika,1089
shallots,1085
peanut butter,1078
green bell pepper,1068
fresh ginger,1051
chili powder,1044
tomato sauce,1027
pecans,1026
ground cinnamon,1013
shallot,1006
buttermilk,1000
black pepper,990
vanilla,986
banana,980
caster sugar,980
confectioners' sugar,974
red wine vinegar,969
vanilla extract,965
boneless skinless chicken breasts,920
cold water,916
evaporated milk,913
walnuts,911
salsa,908
vinegar,904
raisins,891
sweetened condensed milk,886
mushrooms,876
chicken breasts,874
dark brown sugar,852
black beans,838
skim milk,798
cucumber,797
cheese,774
sweet onion,766
fresh lime juice,766
ground cumin,756
chicken,747
sea salt,741
diced tomatoes,738
sharp cheddar cheese,731
ginger,731
cornmeal,721
ham,711
cider vinegar,696
fresh parsley,695
barbecue sauce,691
ground turkey,680
parsley,675
scallions,671
half-and-half,670
bananas,667
lean ground beef,666
white vinegar,662
lime,662
swiss cheese,660
active dry yeast,659
celery ribs,657
hot water,655
fresh mushrooms,652
cocoa powder,647
apples,645
maple syrup,631

leeks,621
ground pork,616
plain yogurt,586
monterey jack cheese,583
ricotta cheese,580
crushed pineapple,569
light corn syrup,566
broccoli,561
orange,556
Splenda sugar substitute,553
mushroom,544
corn,541
onion powder,538
apple,538
cabbage,532
lemons,530
shrimp,529
curry powder,529
strawberries,525
coconut milk,522
bell pepper,518
dry white wine,517
white wine,508
green chilies,507
red onions,504
rolled oats,500
icing sugar,499
white wine vinegar,496
yellow onions,490
ground ginger,486
rice vinegar,483
rice,482
fresh cilantro,477
feta cheese,473
cherry tomatoes,469
avocado,469
potato,468
fresh basil,464
beef broth,457
seasoning salt,455
vanilla ice cream,450
green beans,445
plain flour,442
cumin,441
vegetable broth,439
apple cider vinegar,439
leek,434
spinach,433
fresh ground black pepper,431
creamy peanut butter,431
beer,426
cilantro,420
molasses,417
applesauce,415
cottage cheese,414
cayenne pepper,412
blue cheese,412
sweet onions,411
dried oregano,410
yellow cornmeal,406
cauliflower,394
limes,394
Splenda granular,393
mangoes,386
blueberries,385
hard-boiled eggs,380
sesame seeds,379
green peppers,374
scallion,373
fresh rosemary,371
dry mustard,370
frozen chopped spinach,369
sweet potatoes,367
gingerroot,365
Italian sausage,365
Velveeta cheese,365
graham cracker crumbs,364
cranberry juice,362
oregano,360
ground black pepper,358
strawberry,356
coarse salt,355
boneless skinless chicken breast halves,349
boneless skinless chicken breast,349
asparagus,346
oranges,344
Cool Whip,343
black olives,343
dates,343
brandy,343
pineapple,339
mustard,339
nonfat milk,338
rum,334
chili sauce,328
kidney beans,327
dried cranberries,327
chicken thighs,325
mustard seeds,324
triple sec,322
coconut,321
chocolate chips,321
cake flour,321
marshmallows,320
low sodium soy sauce,318
cucumbers,317
red wine,317
oatmeal,315
dried thyme,313
prosciutto,310
red bell peppers,308
dry sherry,304
pasta,304
heavy whipping cream,302
pumpkin,301
chickpeas,296
corn syrup,294
yogurt,293
fresh spinach,293
turkey,291
unflavored gelatin,290
mango,289
beef,288
pine nuts,288
flour tortillas,286
nutmeg,284
tuna,284
lemon zest,283
bell peppers,283
oats,282
wheat germ,280
light mayonnaise,279
bread flour,278
plum tomatoes,276
broccoli florets,276
fresh thyme,276
cream of tartar,273
lettuce,273
pesto sauce,272
sausage,271
low sodium chicken broth,266
hoisin sauce,265
unsweetened applesauce,265
tahini,263
fresh strawberries,263
cooked ham,262
raspberries,261
artichoke hearts,260
avocados,258
basil,258
pancetta,257
bay leaves,256
bay leaf,254
frozen spinach,253
roma tomatoes,253
eggplant,252
mandarin oranges,252
dry yeast,252
cinnamon sticks,251
dried basil,251
bittersweet chocolate,250
Miracle Whip,250
pinto beans,249
thyme,248
chicken breast,248
brown rice,248
unbleached all-purpose flour,248
American cheese,247
green bell peppers,246
sauerkraut,246
fish sauce,245
soymilk,244
orange marmalade,240
quick-cooking oats,240
grape tomatoes,238
ginger ale,237
orange zest,237
dark rum,236
sunflower seeds,236
stewed tomatoes,236
fresh garlic,235
apple cider,234
egg substitute,233
cumin seed,231
chives,231
tomato juice,231
Kahlua,230
whole kernel corn,229
romaine lettuce,229
russet potatoes,229
frozen corn,227
white flour,225
chorizo sausage,224
cooked rice,223
light soy sauce,222
crushed red pepper flakes,221
spaghetti,221
rosemary,220
dark chocolate,220
pork,218
spring onions,217
provolone cheese,217
white rice,217
coconut oil,214
elbow macaroni,214
whole cloves,211
minced garlic cloves,211
capers,211
long grain rice,208
frozen strawberries,208
granny smith apples,208
pineapple chunks,208
cinnamon stick,208
of fresh mint,207
sherry wine,205
low-fat milk,205
powdered milk,205
ground coriander,203
boneless skinless chicken thighs,202
fresh ground pepper,201
boneless chicken breasts,201
sweet potato,200
cornflour,200
yellow bell pepper,199
pears,197
light sour cream,197
crushed tomatoes,197
panko breadcrumbs,196
vegetable shortening,196
prepared mustard,196
white chocolate,194
pumpkin puree,194
fresh dill,194
mashed potatoes,194
old fashioned oats,194
ghee,194
miniature marshmallows,192
Bourbon,191
garbanzo beans,191
light cream cheese,189
half-and-half cream,187
hamburger,186
chocolate,185
salted butter,185
peanuts,185
diced green chilies,184
celery rib,184
table salt,183
peas,183
fresh chives,183
instant vanilla pudding,183
pork sausage,182
fat free cream cheese,182
smoked sausage,182
corn tortillas,180
Amaretto,179
sugar substitute,179
red cabbage,178
self-rising flour,177
button mushrooms,177
lemongrass,176
basil leaves,176
vanilla bean,175
pure maple syrup,174
quick oats,174
catsup,172
mini marshmallows,172
dry red wine,172
flat leaf parsley,170
whole wheat pastry flour,170
yukon gold potatoes,169
black peppercorns,168
quinoa,167
canned pumpkin,166
red pepper flakes,166
blue curacao,166
green cabbage,165
horseradish,164
oyster sauce,164
flaked coconut,163
dried rosemary,163
Cointreau liqueur,163
low-fat mayonnaise,162
hazelnuts,162
couscous,162
water chestnuts,161
red kidney beans,161
instant coffee,161
cloves,160
frozen blueberries,160
fresh mint leaves,160
cashews,160
white pepper,159
golden raisin,158
fresh blueberries,157
alfredo sauce,157
coffee,155
turmeric,155
tea bags,154
monterey jack pepper cheese,153
chicken bouillon cubes,153
sun-dried tomato,153
Grand Marnier,153
eggplants,153
medium shrimp,152
ground chicken,152
yellow mustard,151
Tabasco sauce,150
chunky salsa,150
large shrimp,150
penne pasta,150
pumpkin pie spice,149
sun-dried tomatoes,148
green olives,148
basmati rice,147
fat-free mayonnaise,146
Spanish onion,146
low fat cottage cheese,144
vanilla instant pudding mix,144
orzo pasta,144
vanilla yogurt,144
granny smith apple,143
Bisquick,142
cranberries,142
golden syrup,142
lemon pepper,141
salmon fillets,141
mirin,140
gelatin,140
baking potatoes,140
ground nutmeg,140
wheat flour,140
reduced sodium soy sauce,139
fresh pineapple,138
