22,count
salt,30959
butter,14240
sugar,13746
eggs,11014
garlic cloves,10475
onion,10113
water,9372
olive oil,9019
flour,8217
milk,8001
pepper,6766
baking powder,5988
vanilla,5793
all-purpose flour,5635
garlic,5409
egg,5248
brown sugar,5071
baking soda,4814
vanilla extract,4743
cinnamon,4655
lemon juice,4487
garlic powder,4195
black pepper,4047
garlic clove,3859
parmesan cheese,3761
celery,3572
tomatoes,3561
honey,3237
sour cream,2954
unsalted butter,2928
kosher salt,2684
margarine,2657
soy sauce,2635
ground cinnamon,2632
mayonnaise,2553
Worcestershire sauce,2545
chicken broth,2526
chili powder,2471
paprika,2417
onions,2408
carrot,2405
cheddar cheese,2330
carrots,2329
granulated sugar,2313
cream cheese,2280
nutmeg,2135
parsley,2131
extra virgin olive oil,2083
ground cumin,2030
cornstarch,2029
fresh ground black pepper,2001
red onion,1911
fresh parsley,1827
green onions,1812
heavy cream,1712
cayenne pepper,1708
Dijon mustard,1707
green onion,1682
bacon,1650
pecans,1633
red bell pepper,1600
fresh lemon juice,1561
dried oregano,1555
tomato sauce,1546
sea salt,1493
ginger,1490
fresh ginger,1487
lemon,1474
green pepper,1443
onion powder,1443
cumin,1432
walnuts,1405
tomato paste,1388
mozzarella cheese,1361
oregano,1333
canola oil,1320
ground ginger,1310
powdered sugar,1293
diced tomatoes,1248
ground black pepper,1231
potatoes,1227
lime juice,1188
green bell pepper,1168
cilantro,1158
zucchini,1157
ketchup,1142
vinegar,1131
fresh cilantro,1105
dried thyme,1061
fresh basil,1052
curry powder,1050
raisins,1022
ground nutmeg,977
dry mustard,975
cheese,975
thyme,973
dry white wine,973
red wine vinegar,967
light brown sugar,966
mushrooms,964
buttermilk,940
white sugar,937
white wine,930
dried basil,912
crushed red pepper flakes,898
basil,887
shortening,881
celery ribs,880
yellow onion,876
white pepper,869
ground beef,857
whole wheat flour,831
fresh ground pepper,831
red pepper flakes,820
bay leaf,816
cider vinegar,813
fresh thyme,806
shallot,804
lemon zest,795
bananas,793
lime,784
salsa,747
black beans,745
white vinegar,736
scallions,723
maple syrup,718
shallots,716
ground cloves,705
bay leaves,692
sharp cheddar cheese,669
peanut butter,668
half-and-half,667
beef broth,649
fresh lime juice,645
green chilies,643
seasoning salt,643
mushroom,642
monterey jack cheese,637
confectioners' sugar,637
ground coriander,630
evaporated milk,625
pure vanilla extract,623
chives,617
fresh rosemary,615
cold water,608
black olives,607
bell pepper,601
feta cheese,597
corn,592
Tabasco sauce,587
warm water,585
cocoa powder,573
orange,572
swiss cheese,566
Cool Whip,566
dark brown sugar,562
sweetened condensed milk,557
molasses,557
cherry tomatoes,550
boneless skinless chicken breasts,548
chocolate chips,543
orange zest,540
cucumber,530
vegetable broth,529
sesame seeds,526
banana,525
turmeric,524
chicken breasts,514
boiling water,510
rice vinegar,506
ham,506
cayenne,505
tomato puree,503
scallion,503
avocado,501
cabbage,500
allspice,498
apple cider vinegar,494
fresh dill,494
mustard,494
rosemary,491
apples,490
barbecue sauce,487
chicken,484
skim milk,480
flour tortillas,477
fresh mushrooms,473
red wine,470
coconut,469
capers,465
apple,465
white wine vinegar,464
coconut milk,458
gingerroot,458
fresh chives,453
bread flour,449
pine nuts,445
plain flour,445
lettuce,444
fish sauce,436
lemons,430
hot water,430
crushed pineapple,429
shrimp,427
spinach,425
low sodium chicken broth,422
plain yogurt,409
broccoli,405
caster sugar,404
dried parsley,403
brandy,399
pumpkin pie spice,397
green beans,393
sweet onion,388
ricotta cheese,388
of fresh mint,384
rice,382
crushed tomatoes,381
coconut oil,381
dry sherry,378
potato,376
dried rosemary,376
cinnamon stick,374
coarse salt,364
ground allspice,362
cornmeal,360
rolled oats,359
dried cranberries,358
cream of tartar,349
Splenda sugar substitute,349
beer,348
lean ground beef,346
heavy whipping cream,346
red onions,345
blue cheese,342
ground pepper,342
cake flour,336
prepared mustard,331
light corn syrup,325
strawberries,325
stewed tomatoes,320
kidney beans,318
applesauce,316
fresh oregano,316
frozen corn,312
clove,311
