14,count
salt,29418
butter,15432
sugar,15187
onion,13359
eggs,12121
garlic cloves,11668
water,9574
olive oil,9181
flour,8057
milk,8005
garlic,6339
baking powder,5941
egg,5692
brown sugar,5659
vanilla,5404
pepper,5345
all-purpose flour,4943
baking soda,4799
lemon juice,4707
celery,4637
garlic clove,4382
cinnamon,4245
vanilla extract,4240
garlic powder,3769
honey,3607
parmesan cheese,3540
tomatoes,3492
onions,3183
margarine,3178
black pepper,3101
sour cream,3018
unsalted butter,2987
cream cheese,2728
carrot,2713
mayonnaise,2706
soy sauce,2681
carrots,2650
ground cinnamon,2520
cheddar cheese,2440
Worcestershire sauce,2418
granulated sugar,2318
kosher salt,2311
red onion,2269
chicken broth,2186
extra virgin olive oil,2133
chili powder,2087
paprika,2048
cornstarch,1990
green onions,1942
green pepper,1849
green onion,1824
red bell pepper,1799
bacon,1734
parsley,1717
Dijon mustard,1712
ground cumin,1690
fresh parsley,1653
heavy cream,1633
nutmeg,1594
fresh ground black pepper,1584
fresh lemon juice,1581
fresh ginger,1544
lemon,1482
pecans,1478
green bell pepper,1432
ginger,1405
tomato sauce,1400
potatoes,1359
cayenne pepper,1356
mozzarella cheese,1352
sea salt,1331
walnuts,1322
powdered sugar,1300
zucchini,1252
canola oil,1240
lime juice,1235
onion powder,1230
dried oregano,1204
diced tomatoes,1163
ketchup,1163
ground ginger,1147
cumin,1121
vinegar,1089
oregano,1081
white sugar,1066
yellow onion,1063
mushrooms,1056
tomato paste,1052
fresh cilantro,1051
celery ribs,1050
ground black pepper,1014
curry powder,985
cilantro,978
raisins,974
ground beef,968
shortening,943
shallot,930
light brown sugar,930
red wine vinegar,920
cheese,919
cider vinegar,885
dry mustard,885
fresh basil,884
shallots,858
dried thyme,830
white wine,814
bananas,813
lime,795
buttermilk,787
dried basil,782
salsa,767
lemon zest,763
scallions,759
black beans,758
evaporated milk,743
dry white wine,742
crushed red pepper flakes,741
thyme,741
bell pepper,733
maple syrup,727
cold water,721
fresh lime juice,720
ground nutmeg,708
fresh thyme,707
whole wheat flour,707
mushroom,704
peanut butter,698
molasses,696
half-and-half,685
green chilies,682
white vinegar,681
banana,670
basil,663
confectioners' sugar,649
sharp cheddar cheese,647
cocoa powder,639
cucumber,637
fresh ground pepper,637
orange,625
sweetened condensed milk,624
Cool Whip,621
monterey jack cheese,621
boiling water,613
seasoning salt,611
fresh rosemary,609
red pepper flakes,605
bay leaf,595
warm water,593
white pepper,593
black olives,587
fresh mushrooms,586
swiss cheese,583
dark brown sugar,580
pure vanilla extract,577
chives,551
orange zest,548
cherry tomatoes,546
pinto beans,538
boneless skinless chicken breasts,534
crushed pineapple,533
gingerroot,531
corn,528
barbecue sauce,527
sesame seeds,526
skim milk,525
